n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,ccp_alpha,train_acc,val_acc,fit_seconds,completed_at,grid_index,grid_total
400,,,2,1,,0.0,0.9997992169460898,0.6363273453093813,324.334,2026-05-19T08:08:37.921945,1261,1296
200,20.0,,2,2,,0.0,0.980724826824616,0.6355289421157685,115.689,2026-05-18T21:28:05.900444,509,1296
200,,,10,1,,0.0,0.9865977311514909,0.6347305389221557,163.239,2026-05-18T23:12:47.247730,637,1296
300,20.0,,2,2,,0.0,0.9808252183515711,0.6343313373253493,170.559,2026-05-19T01:06:43.292428,833,1296
200,,,2,2,,0.0,0.9949302278887662,0.6343313373253493,152.443,2026-05-18T22:33:57.451214,617,1296
200,20.0,,2,2,,0.0001,0.9722417427969079,0.6339321357285429,115.72,2026-05-18T21:30:02.104176,510,1296
400,20.0,,2,2,,0.0,0.9808252183515711,0.6331337325349301,225.321,2026-05-19T06:15:37.531480,1157,1296
200,,,10,1,,0.0001,0.9628049392631262,0.6331337325349301,162.498,2026-05-18T23:15:29.832512,638,1296
300,20.0,,2,2,,0.0001,0.9728440919586387,0.6327345309381237,170.21,2026-05-19T01:09:33.617163,834,1296
400,20.0,,2,2,,0.0001,0.9735468326473246,0.6327345309381237,225.118,2026-05-19T06:19:22.800480,1158,1296
300,,,2,1,,0.0,0.9997992169460898,0.6323353293413174,246.419,2026-05-19T02:31:59.585573,937,1296
300,20.0,,10,2,,0.0,0.9589398654753539,0.6323353293413174,170.229,2026-05-19T02:05:27.400564,857,1296
300,,,5,1,,0.0,0.9982431482782853,0.6323353293413174,246.295,2026-05-19T03:06:49.422191,949,1296
200,20.0,,2,1,,0.0,0.9873004718401767,0.6323353293413174,118.444,2026-05-18T21:21:21.189976,505,1296
300,20.0,,5,1,,0.0,0.9807750225880936,0.631936127744511,175.148,2026-05-19T01:26:12.326217,841,1296
300,20.0,,5,1,,0.0001,0.9712378275273567,0.631936127744511,175.323,2026-05-19T01:29:07.756370,842,1296
200,,,2,2,,0.0001,0.982682461600241,0.631936127744511,152.52,2026-05-18T22:36:30.058619,618,1296
100,,,10,1,,0.0,0.9840377472141352,0.631936127744511,85.498,2026-05-18T20:13:56.600267,313,1296
300,20.0,,10,2,,0.0001,0.9534685272562996,0.631936127744511,169.98,2026-05-19T02:08:17.487225,858,1296
300,,,5,2,,0.0001,0.980724826824616,0.6315369261477046,224.082,2026-05-19T03:22:32.971739,954,1296
400,,,2,1,,0.0001,0.9861459692801927,0.6315369261477046,325.026,2026-05-19T08:14:03.794515,1262,1296
400,,,2,2,,0.0001,0.9831844192350165,0.6315369261477046,298.324,2026-05-19T08:29:36.412857,1266,1296
400,20.0,,10,1,,0.0,0.9662182511796005,0.6311377245508982,225.36,2026-05-19T07:20:23.134681,1177,1296
200,20.0,,2,4,,0.0001,0.9454874008633671,0.6311377245508982,109.681,2026-05-18T21:36:32.252695,514,1296
300,,,10,2,,0.0,0.9723421343238631,0.6311377245508982,222.59,2026-05-19T03:53:19.058999,965,1296
